"","Beneficial","Harmful","Total","PPIa"
"AXOS",1874,285,2159,0.735988883742473
"Acerola full spectrum",1110,769,1879,0.181479510377861
"Acerola green + OBG 28%",528,256,784,0.346938775510204
"Acerola red 20% vit C& acerola green vit C 34%",1075.66666666667,183,1258.66666666667,0.709216101694915
"Agrifiber",895.333333333333,111.666666666667,1007,0.778219132737504
"Aronox PE 40% polyphenols",469.666666666667,3037,3506.66666666667,-0.73212927756654
"Ascorbic acid (Vit c)",1470.33333333333,358.666666666667,1829,0.607800255148533
"Carrot juice + Green Acerola",1002.66666666667,211,1213.66666666667,0.652293326009338
"Carrot juice pro vit A",1370.66666666667,326.666666666667,1697.33333333333,0.615082482325216
"FBB0",1266,1385,2651,-0.044888721237269
"FBB16",1647,284,1931,0.705851890212325
"Gingest",1352.66666666667,1380.33333333333,2733,-0.0101231857543602
"Green Acerola 34% Vit C",1292.33333333333,177,1469.33333333333,0.759074410163339
"Inulin",1967,181.333333333333,2148.33333333333,0.831186966640807
"OBG 28% (OatWell Bran)",828.333333333333,248.333333333333,1076.66666666667,0.538699690402477
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1583.66666666667,273,1856.66666666667,0.705924596050269
"Red Acerola 20% Vit C",1462.33333333333,163.666666666667,1626,0.798687986879869
"Resistant starch postbiotic candidate 1",1461.33333333333,239.333333333333,1700.66666666667,0.718541748333987
"Resistant starch postbiotic candidate 2",1111,282,1393,0.595118449389806
"Super B-glucan (SBG)",2502.66666666667,239.666666666667,2742.33333333333,0.825209675458855
"Svetol",1947.33333333333,384.666666666667,2332,0.670097198399085
"Yeast B-glucans (YBG-Wellmune)",838,160.333333333333,998.333333333333,0.678797996661102
"lantamanen OBG-29% GF",545.666666666667,269,814.666666666667,0.339607201309329
