"","Beneficial","Harmful","Total","PPIa"
"AXOS",2031,561,2592,0.56712962962963
"Acerola full spectrum",2497.66666666667,1924,4421.66666666667,0.129739917075009
"Acerola green + OBG 28%",2062.66666666667,1219.66666666667,3282.33333333333,0.256829491215599
"Acerola red 20% vit C& acerola green vit C 34%",3479.66666666667,168.333333333333,3648,0.907711988304093
"Agrifiber",1715.33333333333,616.666666666667,2332,0.471126357918811
"Aronox PE 40% polyphenols",2628.33333333333,2828.66666666667,5457,-0.0367112577118074
"Ascorbic acid (Vit c)",3312.33333333333,653.666666666667,3966,0.670364767187763
"Carrot juice + Green Acerola",3735.66666666667,230.333333333333,3966,0.88384602454194
"Carrot juice pro vit A",1811.66666666667,739.666666666667,2551.33333333333,0.420172458845048
"FBB0",1984,1639,3623,0.0952249516974883
"FBB16",3741,1084,4825,0.550673575129534
"Gingest",2388.33333333333,2744.33333333333,5132.66666666667,-0.0693596570983245
"Green Acerola 34% Vit C",3433.33333333333,210,3643.33333333333,0.884720951509607
"Inulin",2079,474.666666666667,2553.66666666667,0.628246965148153
"OBG 28% (OatWell Bran)",1714,884.333333333333,2598.33333333333,0.319307248236049
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1970.33333333333,646.333333333333,2616.66666666667,0.505987261146497
"Red Acerola 20% Vit C",3520.33333333333,207,3727.33333333333,0.888928635306743
"Resistant starch postbiotic candidate 1",2095.33333333333,865.666666666667,2961,0.415287628053586
"Resistant starch postbiotic candidate 2",2698.66666666667,746.666666666667,3445.33333333333,0.56656346749226
"Super B-glucan (SBG)",2283.33333333333,585,2868.33333333333,0.592097617664149
"Svetol",2275.66666666667,1463,3738.66666666667,0.217368045649073
"Yeast B-glucans (YBG-Wellmune)",1990.66666666667,804.666666666667,2795.33333333333,0.424278559503935
"lantamanen OBG-29% GF",1572,815,2387,0.317134478424801
