"","Beneficial","Harmful","Total","PPIa"
"AXOS",1500,475,1975,0.518987341772152
"Acerola full spectrum",1200,632,1832,0.310043668122271
"Acerola green + OBG 28%",829.666666666667,676.333333333333,1506,0.101814962372731
"Acerola red 20% vit C& acerola green vit C 34%",1349.66666666667,252.666666666667,1602.33333333333,0.684626586228417
"Agrifiber",2051,530.666666666667,2581.66666666667,0.588896061975468
"Aronox PE 40% polyphenols",452.333333333333,3440.66666666667,3893,-0.767617090504324
"Ascorbic acid (Vit c)",1460.66666666667,307.333333333333,1768,0.652337858220211
"Carrot juice + Green Acerola",1430.66666666667,296.666666666667,1727.33333333333,0.656503280586646
"Carrot juice pro vit A",1317,600,1917,0.374021909233177
"FBB0",1117,721,1838,0.215451577801959
"FBB16",1587,352,1939,0.636926250644662
"Gingest",2363,1659.66666666667,4022.66666666667,0.174842558833278
"Green Acerola 34% Vit C",1313.33333333333,263.333333333333,1576.66666666667,0.665961945031713
"Inulin",1045.66666666667,266.333333333333,1312,0.594004065040651
"OBG 28% (OatWell Bran)",974.333333333333,691.333333333333,1665.66666666667,0.169901941164699
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1168.66666666667,471.666666666667,1640.33333333333,0.424913635439951
"Red Acerola 20% Vit C",1430,225.666666666667,1655.66666666667,0.727400845580833
"Resistant starch postbiotic candidate 1",1624.66666666667,510.666666666667,2135.33333333333,0.521698407742741
"Resistant starch postbiotic candidate 2",1189.66666666667,501.333333333333,1691,0.407056968263355
"Super B-glucan (SBG)",1734,472,2206,0.57207615593835
"Svetol",2731,756.333333333333,3487.33333333333,0.566239724718027
"Yeast B-glucans (YBG-Wellmune)",1767.66666666667,531.333333333333,2299,0.537770044947078
"lantamanen OBG-29% GF",1673.66666666667,507,2180.66666666667,0.535004585753592
