"","Beneficial","Harmful","Total","PPIa"
"AXOS",1423,420,1843,0.544221378187737
"Acerola full spectrum",520,2241.33333333333,2761.33333333333,-0.623370352486721
"Acerola green + OBG 28%",525.333333333333,418.666666666667,944,0.112994350282486
"Acerola red 20% vit C& acerola green vit C 34%",1208,217.333333333333,1425.33333333333,0.695042095416277
"Agrifiber",504.666666666667,250.666666666667,755.333333333333,0.336275375110327
"Aronox PE 40% polyphenols",93.6666666666667,3008.66666666667,3102.33333333333,-0.939615343289997
"Ascorbic acid (Vit c)",759.666666666667,1787.66666666667,2547.33333333333,-0.403559277676001
"Carrot juice + Green Acerola",1618,309,1927,0.679294239750908
"Carrot juice pro vit A",1089.66666666667,356.333333333333,1446,0.507146150299677
"FBB0",724,1047,1771,-0.182382834556748
"FBB16",2184,460,2644,0.652042360060514
"Gingest",661,2452.66666666667,3113.66666666667,-0.575420190557756
"Green Acerola 34% Vit C",1159.66666666667,191,1350.66666666667,0.717176702862784
"Inulin",1980.33333333333,438.666666666667,2419,0.63731569519085
"OBG 28% (OatWell Bran)",154.666666666667,337,491.666666666667,-0.370847457627119
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",426.666666666667,258,684.666666666667,0.24634858812074
"Red Acerola 20% Vit C",1758,208,1966,0.788402848423194
"Resistant starch postbiotic candidate 1",890.666666666667,421.666666666667,1312.33333333333,0.357378714757429
"Resistant starch postbiotic candidate 2",1480.66666666667,320.333333333333,1801,0.644271700906904
"Super B-glucan (SBG)",779.666666666667,355.333333333333,1135,0.373861967694567
"Svetol",1653,599,2252,0.468028419182948
"Yeast B-glucans (YBG-Wellmune)",575.333333333333,186.666666666667,762,0.510061242344707
"lantamanen OBG-29% GF",85.6666666666667,355,440.666666666667,-0.611195158850227
