"","Beneficial","Harmful","Total","PPIa"
"AXOS",1463,246,1709,0.712112346401404
"Acerola full spectrum",1194.33333333333,1961.66666666667,3156,-0.243134769750739
"Acerola green + OBG 28%",823,556.5,1379.5,0.193185936933672
"Acerola red 20% vit C& acerola green vit C 34%",1620,73.6666666666667,1693.66666666667,0.913009250147609
"Agrifiber",1093.66666666667,213.666666666667,1307.33333333333,0.673125956144824
"Aronox PE 40% polyphenols",964.666666666667,3541,4505.66666666667,-0.571798475993194
"Ascorbic acid (Vit c)",1631,897.333333333333,2528.33333333333,0.29017798286091
"Carrot juice + Green Acerola",1667.33333333333,39,1706.33333333333,0.954287946864622
"Carrot juice pro vit A",1247.66666666667,569,1816.66666666667,0.373577981651376
"FBB0",1197,1305,2502,-0.0431654676258993
"FBB16",2332,17,2349,0.985525755640698
"Gingest",1504.66666666667,2631.33333333333,4136,-0.272404900064475
"Green Acerola 34% Vit C",1835,58,1893,0.938721605916535
"Inulin",2295.66666666667,69,2364.66666666667,0.941640823230899
"OBG 28% (OatWell Bran)",1166,439.333333333333,1605.33333333333,0.45265780730897
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1561,67.6666666666667,1628.66666666667,0.916905444126074
"Red Acerola 20% Vit C",1721,55,1776,0.938063063063063
"Resistant starch postbiotic candidate 1",2069.33333333333,179,2248.33333333333,0.840770941438102
"Resistant starch postbiotic candidate 2",1315,191.333333333333,1506.33333333333,0.745961495906174
"Super B-glucan (SBG)",1606,278,1884,0.704883227176221
"Svetol",1492.66666666667,403.666666666667,1896.33333333333,0.574266127614695
"Yeast B-glucans (YBG-Wellmune)",1845.5,353.5,2199,0.678490222828558
"lantamanen OBG-29% GF",1163.66666666667,496.666666666667,1660.33333333333,0.40172656093154
