"","Beneficial","Harmful","Total","PPIa"
"AXOS",3254,570,3824,0.701882845188284
"Acerola full spectrum",735.333333333333,3140.66666666667,3876,-0.620571035431716
"Acerola green + OBG 28%",1110.33333333333,1699,2809.33333333333,-0.209539629805411
"Acerola red 20% vit C& acerola green vit C 34%",1292.33333333333,478.666666666667,1771,0.459439111613025
"Agrifiber",1625.33333333333,574,2199.33333333333,0.478023643528342
"Aronox PE 40% polyphenols",286.666666666667,4643,4929.66666666667,-0.883697342619514
"Ascorbic acid (Vit c)",1916,1197.33333333333,3113.33333333333,0.230835117773019
"Carrot juice + Green Acerola",1110,541.333333333333,1651.33333333333,0.344368187323375
"Carrot juice pro vit A",1957.33333333333,784.666666666667,2742,0.427668368587406
"FBB0",1452,2178,3630,-0.2
"FBB16",2620,586,3206,0.634435433562071
"Gingest",1153.66666666667,2365.66666666667,3519.33333333333,-0.344383405948096
"Green Acerola 34% Vit C",1251,467,1718,0.456344586728754
"Inulin",3307.66666666667,345,3652.66666666667,0.811096915495528
"OBG 28% (OatWell Bran)",2055.66666666667,770,2825.66666666667,0.454995871180842
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",2699.33333333333,548.333333333333,3247.66666666667,0.66232166683773
"Red Acerola 20% Vit C",1442,419,1861,0.549704459967759
"Resistant starch postbiotic candidate 1",2146.66666666667,683,2829.66666666667,0.517257627517964
"Resistant starch postbiotic candidate 2",1395.33333333333,1104.66666666667,2500,0.116266666666667
"Super B-glucan (SBG)",2482,516,2998,0.655770513675784
"Svetol",1885,926.333333333333,2811.33333333333,0.341000711406213
"Yeast B-glucans (YBG-Wellmune)",1529,765,2294,0.333042720139494
"lantamanen OBG-29% GF",1951.33333333333,673.666666666667,2625,0.486730158730159
