"","Beneficial","Harmful","Total","PPIa"
"AXOS",840,99,939,0.789137380191693
"Acerola full spectrum",227.333333333333,1362.33333333333,1589.66666666667,-0.713986160620675
"Acerola green + OBG 28%",232,20,252,0.841269841269841
"Acerola red 20% vit C& acerola green vit C 34%",443.666666666667,54,497.666666666667,0.782987273945077
"Agrifiber",149,10.3333333333333,159.333333333333,0.870292887029289
"Aronox PE 40% polyphenols",278,2761,3039,-0.817045080618625
"Ascorbic acid (Vit c)",393.333333333333,897.666666666667,1291,-0.390653240382133
"Carrot juice + Green Acerola",537.333333333333,67,604.333333333333,0.77826806398235
"Carrot juice pro vit A",761,19.6666666666667,780.666666666667,0.949615713065756
"FBB0",210,447,657,-0.360730593607306
"FBB16",1645,257,1902,0.729758149316509
"Gingest",380,938.666666666667,1318.66666666667,-0.42366026289181
"Green Acerola 34% Vit C",350.666666666667,46,396.666666666667,0.768067226890756
"Inulin",1320.33333333333,23.6666666666667,1344,0.964781746031746
"OBG 28% (OatWell Bran)",106.333333333333,57.6666666666667,164,0.296747967479675
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",415.666666666667,50.6666666666667,466.333333333333,0.782701929949964
"Red Acerola 20% Vit C",483.666666666667,33,516.666666666667,0.872258064516129
"Resistant starch postbiotic candidate 1",822.666666666667,91,913.666666666667,0.800802626778548
"Resistant starch postbiotic candidate 2",965.333333333333,91.6666666666667,1057,0.826553137811416
"Super B-glucan (SBG)",1768,41.6666666666667,1809.66666666667,0.953951003868116
"Svetol",2395,122,2517,0.90305919745729
"Yeast B-glucans (YBG-Wellmune)",536.666666666667,23,559.666666666667,0.917808219178082
"lantamanen OBG-29% GF",103.333333333333,106,209.333333333333,-0.0127388535031847
