"","Beneficial","Harmful","Total","PPIa"
"AXOS",2317,232,2549,0.817967830521773
"Acerola full spectrum",885.666666666667,1631,2516.66666666667,-0.296158940397351
"Acerola green + OBG 28%",1128,607,1735,0.30028818443804
"Acerola red 20% vit C& acerola green vit C 34%",1223.33333333333,197,1420.33333333333,0.722600328561371
"Agrifiber",2001.66666666667,232.666666666667,2234.33333333333,0.791735044010145
"Aronox PE 40% polyphenols",629.666666666667,3163.33333333333,3793,-0.667984884436242
"Ascorbic acid (Vit c)",1581.33333333333,107.333333333333,1688.66666666667,0.872878010264509
"Carrot juice + Green Acerola",1061.33333333333,207.666666666667,1269,0.67270816916207
"Carrot juice pro vit A",1443.33333333333,613,2056.33333333333,0.403793159345113
"FBB0",636,1513,2149,-0.408096789204281
"FBB16",1779,266,2045,0.739853300733496
"Gingest",1895.66666666667,1388.66666666667,3284.33333333333,0.154369227646402
"Green Acerola 34% Vit C",1218,185,1403,0.736279401282965
"Inulin",2032.33333333333,303.666666666667,2336,0.740011415525114
"OBG 28% (OatWell Bran)",745.333333333333,558.333333333333,1303.66666666667,0.143441575044746
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",1744,312.666666666667,2056.66666666667,0.695948136142626
"Red Acerola 20% Vit C",1137.66666666667,154,1291.66666666667,0.761548387096774
"Resistant starch postbiotic candidate 1",1582.66666666667,274.666666666667,1857.33333333333,0.704235463029433
"Resistant starch postbiotic candidate 2",1746.66666666667,507.666666666667,2254.33333333333,0.549608162058258
"Super B-glucan (SBG)",2068.66666666667,178,2246.66666666667,0.841543026706231
"Svetol",2141.33333333333,454.666666666667,2596,0.649717514124294
"Yeast B-glucans (YBG-Wellmune)",2056,380.333333333333,2436.33333333333,0.687782186345601
"lantamanen OBG-29% GF",604,444,1048,0.152671755725191
