"","Beneficial","Harmful","Total","PPIa"
"AXOS",1097,333,1430,0.534265734265734
"Acerola full spectrum",750.666666666667,1221.66666666667,1972.33333333333,-0.238803447693088
"Acerola green + OBG 28%",785,599,1384,0.134393063583815
"Acerola red 20% vit C& acerola green vit C 34%",873.666666666667,214.333333333333,1088,0.606004901960784
"Agrifiber",201,179,380,0.0578947368421053
"Aronox PE 40% polyphenols",446,3605.66666666667,4051.66666666667,-0.779843685726039
"Ascorbic acid (Vit c)",1412.33333333333,458.666666666667,1871,0.509709602707999
"Carrot juice + Green Acerola",957.333333333333,286,1243.33333333333,0.539946380697051
"Carrot juice pro vit A",529.666666666667,317.666666666667,847.333333333333,0.250196695515342
"FBB0",729,1318,2047,-0.287738153395213
"FBB16",1753,427,2180,0.608256880733945
"Gingest",1506.66666666667,2460.66666666667,3967.33333333333,-0.240463787598723
"Green Acerola 34% Vit C",834.666666666667,262.333333333333,1097,0.521725919173503
"Inulin",625.666666666667,171,796.666666666667,0.57071129707113
"OBG 28% (OatWell Bran)",233,527.666666666667,760.666666666667,-0.38737949167397
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",466.333333333333,243.333333333333,709.666666666667,0.314232033818694
"Red Acerola 20% Vit C",879.666666666667,210.666666666667,1090.33333333333,0.613573830632834
"Resistant starch postbiotic candidate 1",457.666666666667,584.666666666667,1042.33333333333,-0.121842021106492
"Resistant starch postbiotic candidate 2",970.333333333333,313.666666666667,1284,0.511422637590862
"Super B-glucan (SBG)",845.666666666667,270.666666666667,1116.33333333333,0.51507912809794
"Svetol",951,1029.66666666667,1980.66666666667,-0.0397172669134972
"Yeast B-glucans (YBG-Wellmune)",388.333333333333,218,606.333333333333,0.280923584387026
"lantamanen OBG-29% GF",191.333333333333,540.333333333333,731.666666666667,-0.476993166287016
