Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,115.64174,152.08679,50.67844,169.10625,75.14791,68.96566,167.74976
GD_P1_B1,47.11738,5.71963,4.66339,79.12675,5.70453,6.09251,56.88488
GD_P1_B2,25.0702,0,7.65663,0,8.88096,8.50123,94.28277
GD_P1_B3,17.50559,0,0,0,0,0,29.13959
GD_P1_B4,75.73598,2.97024,22.23837,8.9443,27.4762,26.27637,62.02143
GD_P1_B5,16.1918,0,0,0,0,0,26.83676
GD_P1_B6,11.37932,0,3.3604,0,3.78479,0,39.84803
GD_P1_B7,10.30256,0,0,0,3.7278,0,38.05291
GD_P1_B8,22.48652,0,0,0,0,0,0
GD_P1_B9,26.72829,0,0,0,0,0,0
GD_P1_B10,29.50555,0,5.7194,7.2889,6.92139,6.34008,87.19989
GD_P1_B11,23.056,5.14456,5.16065,7.73213,6.73292,6.33708,61.50251
