Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,83.48724,127.74976,52.83115,155.19658,95.22025,70.95825,124.18607
S4-3-3,15.4503,74.93046,4.08808,5.78613,5.67677,4.82656,55.4734
S4-1-1,21.76005,98.7522,5.55242,8.22193,8.38724,6.03102,70.24814
S4-2-2,17.43381,88.09382,4.4032,39.66113,6.37775,5.2228,64.85027
S4-1-3,22.75486,100.49415,5.80088,7.86019,8.60049,6.15327,71.88991
S4-1-2,24.92428,105.84957,6.07846,11.73647,9.01835,6.50459,76.10818
S4-3-1,19.95174,83.98701,5.14235,7.27996,7.56144,5.43054,62.32164
S4-6-3,29.19073,168.78258,5.99656,119.31348,8.56279,13.16149,71.16621
S4-4-1,11.27767,73.36116,0,97.11553,0,4.6799,29.08781
S4-2-3,19.87217,106.03895,5.12933,47.74472,7.44693,6.16793,68.81274
S5-2-1,11.96989,40.42394,0,8.02799,0,0,17.69214
S5-1-3,20.72038,84.76204,4.36658,18.62356,6.9791,5.68099,63.01567
S5-3-2,15.84619,43.24638,0,9.15704,0,0,29.27771
S5-5-2,19.22942,82.77529,5.12464,30.64237,8.74368,6.49811,67.6274
S5-4-3,18.66004,82.63297,4.06643,36.10271,5.907,5.83637,60.75949
S5-11-1,10.04825,57.80266,3.3573,0,4.34821,4.44724,50.63365
S5-11-2,12.82652,71.73528,4.09491,0,5.30071,5.33801,63.79599
S5-7-2,9.35425,57.06031,3.00368,0,4.17681,3.55397,44.36211
S5-7-1,14.91149,83.45502,4.47639,0,6.05488,5.64652,64.25528
S5-8-3,16.60173,91.38139,4.93708,0,6.68672,6.45637,69.03127
S6-8-2,14.86234,89.1385,4.74684,0,6.26204,6.11998,70.49764
S6-9-2,11.86415,62.8514,3.05016,0,3.92512,4.13095,43.61969
S6-10-2,14.87584,92.5004,4.54527,0,5.76529,5.97181,66.70138
S6-9-3,12.6463,80.77773,3.63994,0,4.76131,4.87447,56.63269
S6-8-1,14.48156,89.98397,4.37919,0,5.68185,5.6469,65.08958
S6-11-2,11.87476,72.13723,4.09471,0,5.28926,5.35615,59.40114
S6-10-1,13.57225,85.60523,4.11683,0,5.33025,5.54313,61.9299
S6-7-3,13.87442,83.1466,4.51296,0,5.85783,5.68691,63.05716
S6-12-1,15.75696,92.24025,5.51337,0,6.9807,7.05592,110.38319
S6-7-1,14.94072,89.62589,4.64296,0,6.08826,5.93676,67.32626
STD2,78.84093,118.96103,49.90215,146.84387,88.8818,68.89114,79.69879
S6-10-3,91.77091,136.47018,56.97495,168.13077,101.57896,78.65105,91.12357
S6-9-1,0,42.86557,0,0,0,0,0
S6-11-3,9.22606,62.08028,2.89886,0,3.84183,3.82181,43.28562
S6-12-2,0,34.37984,0,0,0,0,32.22643
S6-7-2,7.36249,59.25885,3.35839,0,4.34632,4.20035,49.31037
S7-10-3,14.42439,67.03689,3.91811,51.71551,5.79422,5.40288,57.86263
S7-8-3,11.44162,64.27274,3.5553,8.91456,5.32696,4.01344,52.87172
S7-12-1,11.68693,54.29217,3.6726,33.10139,6.13389,4.35199,49.49059
S7-12-2,14.40226,55.81672,3.55601,32.35161,6.26587,4.32984,47.27842
S7-8-1,12.92289,72.62954,4.10491,11.03173,6.11433,4.67112,59.31093
S7-10-1,16.93604,81.47652,4.81414,62.06899,7.17831,6.19316,69.78593
S7-9-1,14.42788,80.77094,3.89585,11.38987,5.97712,4.355,57.75675
S7-12-3,15.85324,68.54261,4.57694,42.47199,7.51048,5.2778,60.98634
S7-7-1,11.26735,67.65321,3.73156,9.55905,5.60489,4.17279,52.57526
S7-9-2,15.15637,71.52498,3.34995,9.63773,4.95608,3.71189,48.09249
S7-10-2,15.95551,58.73691,3.36959,39.50863,4.92504,4.42051,46.07095
S7-11-3,12.54721,63.07447,4.34252,41.17561,7.45615,5.00499,56.68954
S7-8-2,12.66835,69.97849,3.92151,10.80427,5.5314,4.30136,60.56055
